Symbol,Name
BTC,Bitcoin
ETH,Ethereum
XRP,Ripple
BCH,Bitcoin Cash
LTC,Litecoin
EOS,EOS
ADA,Cardano
XLM,Stellar
MIOTA,IOTA
NEO,NEO
XMR,Monero
XEM,NEM
DASH,Dash
TRX,TRON
USDT,Tether
VEN,VeChain
ETC,Ethereum Classic
BNB,Binance Coin
QTUM,Qtum
OMG,OmiseGO
XVG,Verge
LSK,Lisk
ONT,Ontology
ICX,ICON
BTM,Bytom
ZEC,Zcash
NANO,Nano
BTG,Bitcoin Gold
BCN,Bytecoin
STEEM,Steem
WAN,Wanchain
SC,Siacoin
PPT,Populous
BTS,BitShares
BTCP,Bitcoin Private
DOGE,Dogecoin
DGD,DigixDAO
STRAT,Stratis
WAVES,Waves
MKR,Maker
RHOC,RChain
ZIL,Zilliqa
DCR,Decred
BCD,Bitcoin Diamond
AE,Aeternity
SNT,Status
ZRX,0x
KMD,Komodo
AION,Aion
LRC,Loopring
GNT,Golem
REP,Augur
ARDR,Ardor
IOST,IOStoken
DGB,DigiByte
KCS,KuCoin Shares
HSR,Hshare
ARK,Ark
WTC,Waltonchain
CNX,Cryptonex
BAT,Basic
PIVX,PIVX
ELF,aelf
DRGN,Dragonchain
SUB,Substratum
QASH,QASH
CENNZ,Centrality
FCT,Factom
VERI,Veritaseum
MONA,MonaCoin
SYS,Syscoin
GAS,Gas
MITH,Mithril
FUN,FunFair
ELA,Elastos
ETHOS,Ethos
NXT,Nxt
KNC,Kyber Network
NAS,Nebulas
GXS,GXChain
NCASH,Nucleus Vision
RDD,ReddCoin
GBYTE,Byteball Bytes
ETN,Electroneum
SALT,SALT
R,Revain
MAID,MaidSafeCoin
WAX,WAX
XZC,ZCoin
POWR,Power Ledger
STORM,Storm
XIN,Mixin
LINK,ChainLink
ENG,Enigma
BNT,Bancor
REQ,Request Network
NEBL,Neblio
PAY,TenX
SKY,Skycoin
STORJ,Storj
